MOF_name,n_C,formula,non_mof_flag,hard_flag,hard_reason
BAMKOS_clean,88,C88H84N24O20Cu8,False,False,Valid
BANMAG_clean,48,O60H48C48Co6Nd4,False,False,Valid
BAPDAA_clean,72,C72O54Cd18H18,False,False,Valid
BAQWIC_clean,42,C42H30N24Ag11,False,True,Atomic overlap (min_dist=0.602Å); Isolated atoms (12)
BARZUR_clean,60,H60C60N36Zn3,False,True,Atomic overlap (min_dist=0.618Å); Isolated atoms (23)
BASJUB_clean,116,C116H96O32N16Cl8Co4,False,False,Valid
BAWROI_clean,360,C360H208N120O96Zn40,False,False,Valid
BAZFUF01_clean,216,C216H120O48Cu12,False,False,Valid
BAZFUF_clean,216,C216H120O48Cu12,False,False,Valid
BAZGAM_clean,360,C360H216O48Cu12,False,True,Atomic overlap (min_dist=0.744Å)
BAZGEQ_clean,672,C672H384O96N48Cu24,False,False,Valid
BAZJET_clean,72,C72N48H36Mn6O2,False,True,Isolated atoms (16)
BAZJIX_clean,96,C96N64H48Mn10O4,False,False,Valid
BEDYEQ_clean,288,C288H144O72N24Zr18Fe6Cl6,False,True,Atomic overlap (min_dist=0.776Å); Isolated atoms (56)
BELJIL_clean,78,H90C78O24N12Cu6,False,True,Atomic overlap (min_dist=0.795Å); Isolated atoms (38)
BEPBAB_clean,36,C36H16N12Ca2O2,False,False,Valid
BEPLUF_clean,54,H66C54N12O12Zn6,False,True,Atomic overlap (min_dist=0.743Å); Isolated atoms (16)
BEPMAM_clean,54,H66C54N12O12Zn6,False,True,Atomic overlap (min_dist=0.690Å); Isolated atoms (20)
BEPMIU_clean,54,H66C54N12O12Zn6Cl6,False,True,Atomic overlap (min_dist=0.686Å); Isolated atoms (24)
BEPNIV_clean,54,H60C54N12O12Zn6,False,True,Atomic overlap (min_dist=0.659Å); Isolated atoms (20)
BEPNOB_clean,54,H60C54N12O12Zn6,False,True,Atomic overlap (min_dist=0.693Å); Isolated atoms (20)
BEPNUH_clean,54,H66C54N12O12Zn6Br6,False,True,Atomic overlap (min_dist=0.779Å); Isolated atoms (22)
BEPPAP_clean,54,H66C54N12O12Zn6Cl6,False,True,Atomic overlap (min_dist=0.686Å); Isolated atoms (28)
BEPPIX_clean,66,H90C66N12O12Zn6,False,True,Atomic overlap (min_dist=0.569Å); Isolated atoms (30)
BEPPOD_clean,66,H84C66N12O12Zn6,False,True,Atomic overlap (min_dist=0.584Å); Isolated atoms (30)
