Target,Feature,spearman_r,spearman_p
log10_CO2N2_actual_selectivity,topo_tbo,-0.058116271008592256,0.3660443032126762
log10_CO2N2_actual_selectivity,topo_tsy,0.09410587689083971,0.14273361231611334
log10_CO2N2_Henry_selectivity,LCD_A,-0.5132209046338633,8.507073559606676e-18
log10_CO2N2_Henry_selectivity,PLD_A,-0.5605954342878621,1.354800863620752e-21
log10_CO2N2_Henry_selectivity,LFPD_A,-0.5070407351731633,2.4143449504680783e-17
log10_CO2N2_Henry_selectivity,LCD_PLD_ratio,-0.1012692630178969,0.1146087443108652
log10_CO2N2_Henry_selectivity,pore_vol_cm3_g,0.5094498758823504,1.611743530774876e-17
log10_CO2N2_Henry_selectivity,ASA_m2_cm3,-0.3231775770417456,2.450543377083142e-07
log10_CO2N2_Henry_selectivity,ASA_m2_g,-0.5217625119264463,1.9423415851220816e-18
log10_CO2N2_Henry_selectivity,NASA_m2_cm3,0.21254459311285837,0.0008339839568271979
log10_CO2N2_Henry_selectivity,NASA_m2_g,0.21211293327912722,0.0008550895186167615
log10_CO2N2_Henry_selectivity,void_fraction,-0.6010391628397965,2.3593218452200235e-25
log10_CO2N2_Henry_selectivity,accessible_pore_vol,-0.10014165185803929,0.11872342180330663
log10_CO2N2_Henry_selectivity,has_oms,-0.1954758350063609,0.0021593250636833803
log10_CO2N2_Henry_selectivity,density_g_cm3,0.5094498758823504,1.611743530774876e-17
log10_CO2N2_Henry_selectivity,uc_volume_A3,-0.2731443839643326,1.5093900086389766e-05
log10_CO2N2_Henry_selectivity,C_mass_frac,-0.050273606758029145,0.434355179409315
log10_CO2N2_Henry_selectivity,N_mass_frac,-0.06632776904598903,0.30212396495828087
log10_CO2N2_Henry_selectivity,O_mass_frac,0.038327377893596554,0.5512838305775529
log10_CO2N2_Henry_selectivity,catenation,-0.010289016354269043,0.872961030347447
log10_CO2N2_Henry_selectivity,O_coord_ratio,-0.12954997650796918,0.04319995355104937
log10_CO2N2_Henry_selectivity,shortest_MM_dist,0.04192994383517916,0.5144720531432319
log10_CO2N2_Henry_selectivity,ligand_MW,-0.008347010809506986,0.8967901714042871
log10_CO2N2_Henry_selectivity,ligand_LogP,-0.02616580160233966,0.6842329586516276
log10_CO2N2_Henry_selectivity,ligand_n_heavy,-0.017923237936499203,0.7805866266845813
log10_CO2N2_Henry_selectivity,ligand_n_aromatic_rings,0.028951307452986835,0.6527061312235007
log10_CO2N2_Henry_selectivity,ligand_n_carboxylate,-0.09959137785452452,0.12077273209008065
log10_CO2N2_Henry_selectivity,ligand_n_N_hetero,0.11355342138625636,0.07666330378564142
log10_CO2N2_Henry_selectivity,ligand_n_halogen,0.03699069541653687,0.5652622998185769
log10_CO2N2_Henry_selectivity,ligand_n_amino,-0.17734049509477492,0.005469880022542064
log10_CO2N2_Henry_selectivity,ligand_TPSA,-0.05933389412242342,0.356070209989617
log10_CO2N2_Henry_selectivity,metal_Cu,-0.24583651771659187,0.00010442102091141668
log10_CO2N2_Henry_selectivity,metal_Mn,0.07023129220268996,0.2744972831742053
log10_CO2N2_Henry_selectivity,metal_Ni,-0.05109133564635248,0.4269084471891047
log10_CO2N2_Henry_selectivity,metal_Other,0.16456987072498452,0.010022734674643608
log10_CO2N2_Henry_selectivity,metal_Zn,0.006011304411743625,0.9255713008034882
log10_CO2N2_Henry_selectivity,metal_Zr,-0.050546872596005085,0.4318583972167841
log10_CO2N2_Henry_selectivity,topo_dia,0.06644110240674264,0.3012968181823576
log10_CO2N2_Henry_selectivity,topo_error,-0.08021928870774607,0.21179529733802566
log10_CO2N2_Henry_selectivity,topo_lim,0.02813267718964498,0.6619108754179888
log10_CO2N2_Henry_selectivity,topo_lvt,0.09622504486493762,0.13391385485063076
log10_CO2N2_Henry_selectivity,topo_ntt,-0.2291801546717766,0.0003065659828188286
log10_CO2N2_Henry_selectivity,topo_pcu,-0.15965973901932518,0.012517910766799215
log10_CO2N2_Henry_selectivity,topo_pto,-0.2289630296821471,0.00031074485553862384
log10_CO2N2_Henry_selectivity,topo_pts,0.11270099224893543,0.07891650326030543
log10_CO2N2_Henry_selectivity,topo_tbo,0.037578685589087814,0.5590925193298961
log10_CO2N2_Henry_selectivity,topo_tsy,0.1359241981549719,0.03382432811412843
log10_PE_VSA_parasitic_energy,LCD_A,0.7106915199665773,7.846072863296935e-39
log10_PE_VSA_parasitic_energy,PLD_A,0.6887992872628205,1.159829374598733e-35
log10_PE_VSA_parasitic_energy,LFPD_A,0.7103056830067479,8.975673888277682e-39
log10_PE_VSA_parasitic_energy,LCD_PLD_ratio,0.14948822574334497,0.019479135706370908
log10_PE_VSA_parasitic_energy,pore_vol_cm3_g,-0.6235971693710961,1.0809281188579827e-27
log10_PE_VSA_parasitic_energy,ASA_m2_cm3,0.2925425645590364,3.3470638117423852e-06
log10_PE_VSA_parasitic_energy,ASA_m2_g,0.574154501676754,8.496435201066413e-23
log10_PE_VSA_parasitic_energy,NASA_m2_cm3,-0.1083428283351232,0.0912859764466596
log10_PE_VSA_parasitic_energy,NASA_m2_g,-0.10789468638880602,0.09264121792447917
log10_PE_VSA_parasitic_energy,void_fraction,0.6810653342595271,1.3122174008761132e-34
log10_PE_VSA_parasitic_energy,accessible_pore_vol,0.10526735068032529,0.10091252691244802
log10_PE_VSA_parasitic_energy,has_oms,0.1611663471723582,0.011699734146885405
log10_PE_VSA_parasitic_energy,density_g_cm3,-0.6235971693710961,1.0809281188579827e-27
log10_PE_VSA_parasitic_energy,uc_volume_A3,0.38042011303623025,8.026156168774703e-10
log10_PE_VSA_parasitic_energy,C_mass_frac,0.0812362396304047,0.20604148214609105
log10_PE_VSA_parasitic_energy,N_mass_frac,0.03212459610056076,0.6175297685180854
log10_PE_VSA_parasitic_energy,O_mass_frac,-0.0660920898409531,0.3038488385935262
log10_PE_VSA_parasitic_energy,catenation,0.029254488034080903,0.6493103408406098
log10_PE_VSA_parasitic_energy,O_coord_ratio,0.1355867226678631,0.0342733013017874
log10_PE_VSA_parasitic_energy,shortest_MM_dist,-0.061817170249848015,0.3362623612888743
log10_PE_VSA_parasitic_energy,ligand_MW,0.051592103412795076,0.42238490027051356
log10_PE_VSA_parasitic_energy,ligand_LogP,0.0361507308325015,0.574132049975381
log10_PE_VSA_parasitic_energy,ligand_n_heavy,0.05871553986956754,0.36111396086948133
log10_PE_VSA_parasitic_energy,ligand_n_aromatic_rings,-0.03273636162303808,0.6108441367318727
log10_PE_VSA_parasitic_energy,ligand_n_carboxylate,0.10839018384293347,0.09114369714846474
log10_PE_VSA_parasitic_energy,ligand_n_N_hetero,-0.16426524365255865,0.010163642807077572
log10_PE_VSA_parasitic_energy,ligand_n_halogen,0.01040044234331471,0.8715970497255998
log10_PE_VSA_parasitic_energy,ligand_n_amino,0.24838637254599,8.795210370060245e-05
log10_PE_VSA_parasitic_energy,ligand_TPSA,0.051776884438936466,0.42072280803090223
log10_PE_VSA_parasitic_energy,metal_Cu,0.2158714703923103,0.0006867376733157861
log10_PE_VSA_parasitic_energy,metal_Mn,0.059735261013059204,0.3528201110852385
log10_PE_VSA_parasitic_energy,metal_Ni,0.031025290603681914,0.6296226494015158
log10_PE_VSA_parasitic_energy,metal_Other,-0.25223824525143224,6.763032823366628e-05
log10_PE_VSA_parasitic_energy,metal_Zn,0.06327291073609345,0.32498484155170904
log10_PE_VSA_parasitic_energy,metal_Zr,0.06056524671621583,0.3461586221031907
log10_PE_VSA_parasitic_energy,topo_dia,-0.07331441074186712,0.25392695796055775
log10_PE_VSA_parasitic_energy,topo_error,0.005564350620246847,0.9310909950479205
log10_PE_VSA_parasitic_energy,topo_lim,-0.08070186741128978,0.20905068361721624
log10_PE_VSA_parasitic_energy,topo_lvt,-0.10722232570998066,0.09470458602566736
log10_PE_VSA_parasitic_energy,topo_ntt,0.23754596036708092,0.00018019088337547048
log10_PE_VSA_parasitic_energy,topo_pcu,0.14527880283761246,0.02322401917856911
log10_PE_VSA_parasitic_energy,topo_pto,0.22957935818275307,0.00029901890403094685
log10_PE_VSA_parasitic_energy,topo_pts,-0.08892823688847794,0.16613954898164426
log10_PE_VSA_parasitic_energy,topo_tbo,0.12136082351163423,0.05835989137773405
log10_PE_VSA_parasitic_energy,topo_tsy,-0.03561479797421653,0.5798253370924142
N2_Qst_Widom,LCD_A,-0.5929618477627845,1.4656609622055913e-24
