Target,Feature,beta_std,semipartial,p_value
log10_CO2N2_actual_selectivity,topo_ntt,-0.03959796910712537,-0.020960700918632374,0.5456586174735387
log10_CO2N2_actual_selectivity,topo_pcu,-0.18604506786611813,-0.13468980573776923,7.531821710908455e-05
log10_CO2N2_actual_selectivity,topo_pto,-0.007514914830073417,-0.004959180754462042,0.8863643734074165
log10_CO2N2_actual_selectivity,topo_pts,0.0937669649749833,0.07029315848053305,0.04172575969480087
log10_CO2N2_actual_selectivity,topo_tbo,0.019152620255162556,0.014334701304610996,0.6794934788429108
log10_CO2N2_actual_selectivity,topo_tsy,0.02462387072832353,0.020486827308764763,0.5547853220342644
log10_CO2N2_Henry_selectivity,LCD_A,0.13974248784925852,0.012634287075216324,0.7690961297199301
log10_CO2N2_Henry_selectivity,PLD_A,-0.007941653637833168,-0.0010714960651183134,0.9801399289106867
log10_CO2N2_Henry_selectivity,LFPD_A,-0.04855744405353324,-0.005721422813776081,0.8942522577612733
log10_CO2N2_Henry_selectivity,LCD_PLD_ratio,0.16918739082539846,0.043338187385321476,0.31338047723933193
log10_CO2N2_Henry_selectivity,pore_vol_cm3_g,-0.03922611676705892,-0.023065227800854175,0.5919189418744656
log10_CO2N2_Henry_selectivity,ASA_m2_cm3,0.28951005137882574,0.08209568826633781,0.05533942272470866
log10_CO2N2_Henry_selectivity,ASA_m2_g,-0.22461970846506654,-0.045834934784734715,0.2862435359714294
log10_CO2N2_Henry_selectivity,NASA_m2_cm3,-0.4032338710583092,-0.04238078790213878,0.32421810255594885
log10_CO2N2_Henry_selectivity,NASA_m2_g,0.5803235455374287,0.05567104417790261,0.19492726198164614
log10_CO2N2_Henry_selectivity,void_fraction,-0.9175716795159259,-0.16076539564960854,0.00014241055083039184
log10_CO2N2_Henry_selectivity,accessible_pore_vol,0.006542949429189572,0.005209894511146427,0.9036587391212761
log10_CO2N2_Henry_selectivity,has_oms,0.000176457181288385,0.00014085255859154142,0.997389049132796
log10_CO2N2_Henry_selectivity,density_g_cm3,-0.03922611676705712,-0.02306522780085307,0.5919189418744834
log10_CO2N2_Henry_selectivity,uc_volume_A3,-0.0875056191832428,-0.036972365177188715,0.38991796590493033
log10_CO2N2_Henry_selectivity,C_mass_frac,0.15720456241767794,0.10110724817596821,0.017995220397134346
log10_CO2N2_Henry_selectivity,N_mass_frac,0.12476408422605936,0.05012058879992237,0.24343659382416488
log10_CO2N2_Henry_selectivity,O_mass_frac,-0.15332568688722872,-0.06494440928910528,0.1302249161470872
log10_CO2N2_Henry_selectivity,catenation,0.1663563255917162,0.13588425497231899,0.0013833843144955315
log10_CO2N2_Henry_selectivity,O_coord_ratio,0.2565281899458752,0.08033577832621445,0.06082715834993472
log10_CO2N2_Henry_selectivity,shortest_MM_dist,-0.042837473452659446,-0.029917053360486535,0.48675842988194473
log10_CO2N2_Henry_selectivity,ligand_MW,0.2994036393689088,0.015762708820616332,0.7141646726404889
log10_CO2N2_Henry_selectivity,ligand_LogP,0.03822488686329287,0.009901152051588532,0.8180580998079424
log10_CO2N2_Henry_selectivity,ligand_n_heavy,-0.6314232121838447,-0.029315687085932143,0.4955695371881115
log10_CO2N2_Henry_selectivity,ligand_n_aromatic_rings,0.433929432354715,0.1027845912345658,0.016148503186913913
log10_CO2N2_Henry_selectivity,ligand_n_carboxylate,-0.06355941817533087,-0.02173743550503203,0.6134341595614454
log10_CO2N2_Henry_selectivity,ligand_n_N_hetero,0.001363757348264008,0.0007095410059392835,0.9868479724698057
log10_CO2N2_Henry_selectivity,ligand_n_halogen,0.07505935196569671,0.05215945604649585,0.22472296905538874
log10_CO2N2_Henry_selectivity,ligand_n_amino,0.04795494329235861,0.013174562369856464,0.7595181368638957
log10_CO2N2_Henry_selectivity,ligand_TPSA,-0.01228170206273324,-0.0020149048593478837,0.9626636468648623
log10_CO2N2_Henry_selectivity,metal_Cu,-0.07951673604978034,-0.03945238435672043,0.35885079423309907
log10_CO2N2_Henry_selectivity,metal_Mn,-0.0070721974790899506,-0.005276595970110301,0.9024313779888613
log10_CO2N2_Henry_selectivity,metal_Ni,-0.061038912244833696,-0.04761223344677689,0.26791525541198385
log10_CO2N2_Henry_selectivity,metal_Other,-0.014791890435418543,-0.006551280842214561,0.8790239321992085
log10_CO2N2_Henry_selectivity,metal_Zn,0.11955586244016614,0.06581237301659702,0.1251379417318826
log10_CO2N2_Henry_selectivity,metal_Zr,0.042694768967443744,0.02382071786190376,0.5798327134899172
log10_CO2N2_Henry_selectivity,topo_dia,0.1640057302946309,0.13902601527378106,0.0010601125752361864
log10_CO2N2_Henry_selectivity,topo_error,-0.09783773650947601,-0.08111782983596237,0.058335703272520724
log10_CO2N2_Henry_selectivity,topo_lim,0.023770896176687078,0.020831151380444,0.6283130192043035
log10_CO2N2_Henry_selectivity,topo_lvt,0.08107404208126316,0.06960805717663236,0.10467796432229594
log10_CO2N2_Henry_selectivity,topo_ntt,0.0715390095867421,0.03782913335127851,0.3790063893728153
log10_CO2N2_Henry_selectivity,topo_pcu,-0.06854605297740009,-0.05144583161239337,0.23115329363980555
log10_CO2N2_Henry_selectivity,topo_pto,0.0491568207194897,0.032394291102326285,0.4513648817959076
log10_CO2N2_Henry_selectivity,topo_pts,0.11231279134218922,0.08425520293868624,0.049171654241672094
log10_CO2N2_Henry_selectivity,topo_tbo,0.12360846295151949,0.09148953636387493,0.03252490359853591
log10_CO2N2_Henry_selectivity,topo_tsy,0.04170556929562086,0.03467219771831626,0.4201356991754247
log10_PE_VSA_parasitic_energy,LCD_A,-0.7126651464544492,-0.06376830012083125,0.040855267085458745
log10_PE_VSA_parasitic_energy,PLD_A,0.17762199022763547,0.02392960158274055,0.444924968754959
log10_PE_VSA_parasitic_energy,LFPD_A,0.497354303047114,0.05809311747389382,0.0627014459999635
log10_PE_VSA_parasitic_energy,LCD_PLD_ratio,-0.03919987648330722,-0.010064484714458106,0.7481410033296167
log10_PE_VSA_parasitic_energy,pore_vol_cm3_g,0.07825261771532258,0.04579710150037135,0.1429524942715711
log10_PE_VSA_parasitic_energy,ASA_m2_cm3,-0.524343215962815,-0.14205922626348855,3.2056386081005734e-06
log10_PE_VSA_parasitic_energy,ASA_m2_g,0.2946322478181702,0.059737867464140504,0.05555781329865677
log10_PE_VSA_parasitic_energy,NASA_m2_cm3,0.29953399979468803,0.03147858625651719,0.31468733801480586
log10_PE_VSA_parasitic_energy,NASA_m2_g,-0.49290704517924355,-0.047213149258505505,0.13093155659975086
log10_PE_VSA_parasitic_energy,void_fraction,1.016491093053946,0.17036823342906465,1.537679677130639e-08
