Target,Feature,shap_main,shap_interaction_total,shap_interaction_share
CO2_Qst_CC_1bar,topo_lim,0.0,0.0,0.0
CO2_Qst_CC_1bar,topo_lvt,0.0,0.0,0.0
CO2_Qst_CC_1bar,topo_ntt,0.0,0.0,0.0
CO2_Qst_CC_1bar,topo_pcu,0.008981678,0.013026489,0.5918934413584538
CO2_Qst_CC_1bar,topo_pto,0.0,0.0,0.0
CO2_Qst_CC_1bar,topo_pts,0.004532739,0.008043309,0.6395736696869315
CO2_Qst_CC_1bar,topo_tbo,0.0,0.0,0.0
CO2_Qst_CC_1bar,topo_tsy,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,LCD_A,0.020644521,0.04406113,0.6809471566150888
log10_CO2N2_actual_selectivity,PLD_A,0.026034622,0.04560035,0.6365655009025842
log10_CO2N2_actual_selectivity,LFPD_A,0.017096085,0.028527834,0.6252823734634623
log10_CO2N2_actual_selectivity,LCD_PLD_ratio,0.00535779,0.00963185,0.6425671370990145
log10_CO2N2_actual_selectivity,pore_vol_cm3_g,0.014649258,0.026602814,0.6448842955727886
log10_CO2N2_actual_selectivity,ASA_m2_cm3,0.006228255,0.017171126,0.7338282103483524
log10_CO2N2_actual_selectivity,ASA_m2_g,0.01921695,0.029692117,0.6070881796165716
log10_CO2N2_actual_selectivity,NASA_m2_cm3,0.0003312764,0.0007424693,0.6914759239196661
log10_CO2N2_actual_selectivity,NASA_m2_g,0.0030604068,0.004908389,0.6159511753488082
log10_CO2N2_actual_selectivity,void_fraction,0.06785358,0.09662529,0.5874632519109526
log10_CO2N2_actual_selectivity,accessible_pore_vol,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,has_oms,0.0003710553,0.0008625936,0.6992213235050206
log10_CO2N2_actual_selectivity,density_g_cm3,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,uc_volume_A3,0.009957502,0.026734587,0.7286198895212724
log10_CO2N2_actual_selectivity,C_mass_frac,0.00799887,0.014659122,0.6469735990328397
log10_CO2N2_actual_selectivity,N_mass_frac,0.0020869907,0.0052228607,0.7144961715279868
log10_CO2N2_actual_selectivity,O_mass_frac,0.009005803,0.01669058,0.6495303588417273
log10_CO2N2_actual_selectivity,catenation,0.002214482,0.0028226944,0.5603723457724676
log10_CO2N2_actual_selectivity,O_coord_ratio,0.00029136924,0.000772995,0.7262504588313031
log10_CO2N2_actual_selectivity,shortest_MM_dist,0.010956074,0.02018118,0.6481361796023467
log10_CO2N2_actual_selectivity,ligand_MW,0.008899479,0.015791986,0.6395726354265259
log10_CO2N2_actual_selectivity,ligand_LogP,0.00626439,0.01224314,0.661522103989617
log10_CO2N2_actual_selectivity,ligand_n_heavy,0.0008390858,0.0025397502,0.7516642443091283
log10_CO2N2_actual_selectivity,ligand_n_aromatic_rings,0.0061917296,0.011680647,0.6535586851295663
log10_CO2N2_actual_selectivity,ligand_n_carboxylate,0.0005515097,0.0017584043,0.7612423334864249
log10_CO2N2_actual_selectivity,ligand_n_N_hetero,0.00022967067,0.00056467485,0.710868050345414
log10_CO2N2_actual_selectivity,ligand_n_halogen,0.0002407408,0.00046151225,0.6571879277972542
